title,release_year,genres,vote_average,overview
Free State of Jones,2016,"War, Action, Drama, History, Thriller",6.6,"In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history."
Tickled,2016,Documentary,7.3,"Journalist David Farrier stumbles upon a mysterious tickling competition online. As he delves deeper he comes up against fierce resistance, but that doesn’t stop him getting to the bottom of a story stranger than fiction."
It's Such a Beautiful Day,2011,"Drama, Comedy, Animation",8.6,The concluding chapter of Don Hertzfeldt's animated trilogy of shorts about a man named Bill and his wavering mental state.
Ordinary World,2016,"Comedy, Drama",6.3,"Perry is a happily married father of two living a comfortable but sedate life in the suburbs. On the occasion of his 40th birthday, he seeks to revisit his former life as the lead singer in a popular punk band though his middle-aged reality quickly (and hilariously) clashes with the indulgences of his youth."
Brand: A Second Coming,2015,Documentary,6.0,"Comic Russell Brand uses drugs, sex and fame in a quest for happiness, only to find it remains elusive. As he explores iconic figures such as Gandhi, Malcolm X, Che Guevara, and Jesus, he transforms himself into a political antagonist."
Russell Howard Live: Dingledodies,2009,Comedy,6.2,"Recorded at Brighton Dome as part of his twice extended sell-out Dingledodies tour (which played to over 125,000 people), the show sees the star of Mock the Week (BBC Two) and Russell Howard’s Good News (BBC Three) share his observations on life. Packed with his trademark mix of eloquent gags and deft storytelling this is the critically acclaimed show from one of the hottest names in stand-up."
Russell Howard: Live,2008,Comedy,6.5,"Russell has been busy cementing his place as one of the hottest properties in comedy with his BBC6 Music show every Sunday, loads of Mock The Week and Never Mind The Buzzcocks on BBC2, Would I Lie To You? and Live At The Apollo on BBC1, Law of the Playground on Channel 4 and Tough Gig, The Brits and The British Comedy Awards on ITV! But it is on stage where Russell really storms it."
11.22.63,2016,"Drama, History, Thriller",8.0,"An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era."
Arrambam,2013,"Action, Thriller, Drama",6.0,"The film's plot is set in the backdrop of 26/11 serial blasts in Mumbai, and revolves around Ashok Kumar (Ajith), who is on a mission to expose a scam regarding faulty bullet proof jackets that are provided to security forces, which resulted in many bloody deaths including his best friend and colleague, Assistant Commissioner Sanjay (Rana)."
Vaali,1999,Romance,6.0,"Vaali (is a 1999 Tamil thriller film written and directed by S. J. Suryah. The film stars Ajith Kumar in a dual role with Simran appearing in another leading role. The supporting cast of the film include Jyothika in her debut venture, Livingston and Vivek. The film's music is composed by the music director, Deva while Jeeva was in charge of the cinematography. The film released on 1 May 1999 and went to become a commercial success as well as becoming critically acclaimed."
Villan,2002,"Action, Crime",6.7,"One of the twins is a bus conductor and the other is handicapped. The elder one, Shiva, overhears his parents' plot to kill his mildly retarded brother, Vishnu. He runs away to another city, with his adorable brother, and strives hard to look after Vishnu. As a result of an incident when 'dada' Sundara Moorthy, who runs a beggar trade beats Vishnu brutally, Vishnu becomes handicapped for life. Matters worsen when Sundara Moorthy becomes the chairman of the institute for the physically handicapped. How Shiva deals with the situation forms the rest of the story. Meanwhile Thangam is in love with Shiva, though he does not know this. Later she gives up her love and lets Lavanya marry Shiva."
Amarkalam,1999,,6.6,"Vasu is a tough street crook who lives at a movie theater. One day while transporting the reels of a new film, he clashes with a music student Mohana. Mohana is the daughter of the Police Commissioner, who Tulsidas an ex-gang leader released from jail has an old grudge against. He tells Vasu to kidnap Mohana for two days in order to ruin the family's honor. While being held captive by Vasu, Mohana falls in love with him after hearing him sing. Vasu rejects her love, but on learning of it, Tulsidas pays him to pretend to be in love with her. By the time Tulsidas learns that his enmity with the police commissioner is false and tells Vasu to stay away from Mohana it is too late, Vasu's love has become real."
Mugavari,2000,"Drama, Romance",7.5,"Sridhar has been trying to become a music director for eight years. In spite of having earned an M.A., his only dream is to become a music director (he even calls the eight-year wait a ""penance""). His family (father, his brother Shiva, his sister-in-law Shantha and his sister) are fully supportive of him. He runs into Viji and their friendship soon blossoms into love. She helps him get a foot in the door in the industry but bad luck spoils his chances. When Viji's sister's marriage is finalized suddenly, Viji's father asks her to get married too. But he is understandably worried when he learns that Sridhar is unemployed and following a dream that has not been realized for 8 years. Her father even offers a job to him also. But he refuses to do that since his primary goal is to become music director. But he also realizes that he has to support his family. Will he be able to do both?"
Aasai,1995,"Action, Romance",6.0,"The story goes around Suvalakshmi, who is one of the two daughters of an orthodox family. The film starts off when Yamuna (Suvalakshmi) comes to Madras for her studies. Major Madhavan (Prakashraj) is the husband of Yamuna's elder sister, and it was love at first sight for him. Meanwhile, Yamuna falls in love with Jeeva (Ajithkumar), a handsome young man who too loves her. Then there is a scene which shows Madhavan telling his love that he has on Yamuna to his wife."
Kadhal Kottai,1996,Romance,7.0,"Kamali (Devayani) lives with her sister and brother-in-law in Ooty and is searching for a job. While in Madras, her purse is stolen and she fears she has lost her university certificates. Surya (Ajith Kumar) who works in Jaipur finds the purse and sends it back to her, and a love develops through letters and phone calls. They agree to love each other without meeting, and Surya eventually moves to Madras for work. However Kamali's brother-in-law is pressuring her to marry a suitable man and Surya's boss keeps trying to seduce him. Eventually, Kamali and Surya unite through a run of coincidences."
Desert Dancer,2014,Drama,6.5,"Inspirational true story of Iranian dancer Afshin Ghaffarian, who risked his life for his dream to become a dancer despite a nationwide dancing ban."
Coastlines,2002,"Drama, Action",6.0,"An ex-con returns to his Florida hometown after three years and becomes involved with the wife of his best friend, the local sheriff."
Manhattan Night,2016,"Drama, Mystery, Thriller",6.1,"Porter Wren is a Manhattan tabloid writer with an appetite for scandal. On the beat he sells murder, tragedy, and anything that passes for the truth. At home, he is a dedicated husband and father. But when Caroline, a seductive stranger asks him to dig into the unsolved murder of her filmmaker husband Simon, he is drawn into a very nasty case of sexual obsession and blackmail--one that threatens his job, his marriage, and his life."
Micro Men,2009,Drama,7.3,"In 1979 Clive Sinclair, British inventor of the pocket calculator, frustrated by the lack of home investment in his project,the electric car, also opposes former assistant Chris Curry's belief that he can successfully market a micro-chip for a home computer. A parting of the ways sees Curry, in partnership with the Austrian Hermann Hauser and using whizz kid Cambridge students, set up his own, rival firm to Sinclair Radionics, Acorn. Acorn beat Sinclair to a lucrative contract supplying the BBC with machines for a computer series. From here on it is a battle for supremacy to gain the upper hand in the domestic market."
Tenchi the Movie 2: The Daughter of Darkness,1997,"Fantasy, Animation, Science Fiction, Foreign",6.5,"Mayuka is a girl who appears one day and claims to be Tenchi's daughter. As the initial shock wears off, everyone in the Masaki household gets used to Mayuka's presence. However, things only become more interesting as Washu tries to discover Mayuka's background. What Washu found involves demon, the Prince of Jurai, and unrequited emotions."
Snowden,2016,"Drama, Thriller",7.0,CIA employee Edward Snowden leaks thousands of classified documents to the press.
Legend of Crystania: The Motion Picture,1995,"Action, Animation, Fantasy, Science Fiction",6.0,"Ashram, desperate to find a home for his people, is tricked into selling his soul. 300 years later, Pirotesse's devotion to her king remains unshaken. In the sacred world of Crystania, amidst a civil war waged by shape-changing warriors, she searches for her beloved Ashram. She meets Redon, a young prince obsessed with avenging his murdered parents. Together, they confront Ashram's captor Barbas."
Gunsmith Cats: Bulletproof!,1995,"Animation, Action",6.7,"Rally Vincent and Minnie May Hopkins are just a pair of gun shop owners who do a bit of bounty hunting to make ends meet when a Bureau of Alcohol, Tobacco, Firearms agent comes to them. Using the threat of arresting them for their lack of a retail license for their merchandise and the resulting unpaid taxes, he forces them to agree to cooperate in a sting to break a gun running ring. They have an initial success, but that brings new problems as the ring's leader brings in a merciless assassin to eliminate these new enemies. It will take all their skill, allies and some luck to come out this crisis alive."
Kite Liberator,2008,"Animation, Thriller",6.4,"Years after the events that transpired in Kite, Sawa's whereabouts are a mystery. During this time, rumors of a new killer have begun to circulate the city. They call her the Angel of Death, an unfeeling assassin who eliminates her targets with grace and precision, leaving only a flurry of feathers as her calling card. What the public is unaware of is the fact that this notorious hitman is a actually a polite young lady named Monaka. Like her spiritual predecessor, Monaka has lost most of her family, and her father's duty as an astronaut keeps hims practically worlds apart. However, they are close despite the physical distances and Orudo promised his daughter that he would return. Until then, daily life for the timid and somewhat clumsy Monaka involves mostly school and her part time job as a waitress, but her nature completely changes once she receives an assignment."
Animation Runner Kuromi,2001,,6.5,"After being inspired by the fictional anime, ""Luis Monde III"", Mikiko ""Kuromi"" Oguro goes to animation school and and finally lands the job of her dreams at Studio Petit. Upon arriving, she meets the head of production. Unfortunately for her, he dies soon after meeting her and passes his position unto her. Now that she's head of production of ""Time Journeys"", it's up to her to rally up the lazy animator's and finish the second episode in a week."
Ruin Explorers,1995,,6.0,"Ancient curses, enchanted artifacts and plain old fashioned dungeon diving: that's what Fam and Ihrie do for a living - whenever these lovely young ladies can get someone to pay them for it, that is. As two highly trained magic users with slightly faulty spelling abilities, they're off on a quest for the ""Ultimate Power."" All they have to do is find three artifacts: the Proof Of Royalty, the Sword of Sargus and the Mirror of Truth. So how hard can it be?"
Being Charlie,2015,"Drama, Romance",6.4,"Charlie is a troublesome 18-year-old who breaks out of a youth drug treatment clinic, but when he returns home to Los Angeles, he's given an intervention by his parents and forced to go to an adult rehab. There, he meets a beautiful but troubled girl, Eva, and is forced to battle with drugs, elusive love and divided parents."
Buddymoon,2016,Comedy,6.8,"When David is left by his fiancé just days before the wedding, Flula, his relentlessly upbeat best man, insists that the pair go on David's previously planned honeymoon: a seven-day backpacking trip through the breathtaking mountains of Oregon. Their adventures are bookended with passages from William Clark's diary describing his friendship with Meriwether Lewis and the terrain they crossed during their expedition."
Team Foxcatcher,2016,Documentary,7.3,"Meant to be a retreat for elite American athletes, Foxcatcher Farms, and all it was intended to represent, was lost in the paranoid downward spiral of its troubled benefactor John Du Pont. Heir to the Du Pont family fortune, John Du Pont funneled his considerable resources into his love of sports—wrestling in particular. Aiming to reinvigorate the US Olympic wrestling team, Du Pont created Foxcatcher, and invited gold medal champion Dave Schultz to lead the charge. What began as an idealistic sports idyll soon deteriorated into suspicion, distrust, and ultimately murder."
Patton Oswalt: Talking for Clapping,2016,Comedy,6.9,"Patton Oswalt delivers a fresh hour plus of stand-up, covering everything from misery to defeat to hopelessness. It's his most upbeat special to date."
Hip-Hop: Beyond Beats & Rhymes,2006,"Music, Documentary",8.0,
Glass: A Portrait of Philip in Twelve Parts,2007,"Documentary, Foreign, Music",6.4,"Academy Award®-nominated director Scott Hicks (""Shine"") documents an eventful year in the career and personal life of distinguished Western classical composer Philip Glass as he interacts with a number of friends and collaborators, who include Chuck Close, Ravi Shankar, and Martin Scorsese."
Largo,2008,"Comedy, Documentary, Music",7.5,"A documentary about the iconoclastic Los Angeles club, which opened in its original incarnation on Fairfax Ave. in 1989."
Jane Wants a Boyfriend,2015,"Romance, Drama",6.8,A young woman with Asperger's tries to find her first boyfriend with a little help from her older sister.
Vulgar Fractions,2011,Documentary,6.0,Vulgar Fractions ostensibly begins as a physical exploration of seven unique state intersections along Nebraska...
Destino,2003,Animation,7.0,"To a song of love lost and rediscovered, a woman sees and undergoes surreal transformations. From the melting clocks and hourglass sand, to the figure rendered in strips, to the character covered in eyeballs, the style and themes of Dalí are clearly recognizable throughout.  Destino is an animated short film released in 2003 by The Walt Disney Company. Destino is unique in that its production originally began in 1945, 58 years before its eventual completion. The project was originally a collaboration between Walt Disney and Spanish Surrealist painter Salvador Dalí, and features music written by Mexican songwriter Armando Dominguez and performed by Dora Luz. It was included in the Animation Show of Shows in 2003."
Dust,2008,"Documentary, Foreign",7.0,A look at the pervasive power of dust from its tiny particles settling in unseen places to its ability to cause illnesses and create the cosmos.
The Kingdom of Solomon,2010,"Drama, History",9.0,"Solomon, Prophet and the King, has asked God to give him an ideal kingdom which has never been given to anybody before. He is told to prepare himself and his subjects with evil and unearthly creatures that haunt the men."
Divine Access,2015,"Drama, Comedy",6.0,"Jack Harriman becomes a spiritual celebrity after debunking Reverend Guy Roy on a public-access TV show. While on the road speaking his brand of truth, forces natural and supernatural lead him to question whether he has a deeper calling."
The Saviour,2005,Drama,6.5,A young Church elder struggles with his faith when the married woman he has been seeing breaks off their relationship.
The Nostalgist,2014,"Action, Adventure, Fantasy, Science Fiction",7.6,"In the futuristic city of Vanille, with properly tuned ImmerSyst Eyes &amp; Ears the world can look and sound like a paradise. But the life of a father and his young son threatens to disintegrate when the father's device begins to fail. Desperate to avoid facing his own traumatic reality, the man must venture outside to find a replacement, into a city where violence and danger lurk beneath a skim of beautiful illusion."
A Walk Into the Sea: Danny Williams and the Warhol Factory,2007,"Documentary, History",6.0,"Esther Robinson's portrait of her uncle Danny Williams, Warhol's onetime lover, collaborator and filmmaker in his own right, offers a exploration of the Factory era, an homage to Williams's talent, a journey of family discovery and a compelling inquiry into Williams's mysterious disappearance at age 27."
Noma: My Perfect Storm,2015,Documentary,7.8,"A creative journey into the unique mind of René Redzepi, chef and co-owner of Noma, voted best restaurant in the world four times."
The Nice Guys,2016,"Action, Comedy, Crime, Thriller",7.0,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.
Twisted,2013,"Comedy, Music",7.1,"Hop on your flying carpet, because this musical parody retells the classic tale of Aladdin... from the villain's point of view! Long ago in a Magic Kingdom, one misunderstood Royal Vizier will go on a quest to save his city from its bumbling sultan, an invading prince, and the most notorious thief to ever live! With the help of the Kingdom's free-spirited, teenage Princess, the Vizier must find a magical lamp containing a wish-granting Djinn (who's really funny, by the way) and defeat the city's most-wanted criminal... Aladdin! This musical adventure celebrates and lovingly pokes fun at everyone's favorite series of hand-drawn, animated films."
"Chile, the Obstinate Memory",1997,Documentary,7.8,"After decades of fascist rule in Chile, Patricio Guzman returns to his country to screen his documentary, Battle of Chile"
Kaakha Kaakha,2003,"Crime, Thriller, Action",7.1,"Kaakha Kaakha is a 2003 Tamil crime thriller film written and directed by Gautham Menon.  The film released to highly positive reviews in August 2003 and went on to become the first Biggest Blockbuster in Suriya's career, and was considered a comeback film for producer Kalaipuli S. Dhanu. Owing to the success, the film has been remade in several languages."
"Burzynski, the Movie",2010,Documentary,6.7,"Burzynski, the Movie is the story of a medical doctor and Ph.D biochemist named Dr. Stanislaw Burzynski who won the largest, and possibly the most convoluted and intriguing legal battle against the Food &amp; Drug Administration in American history.  His victorious battles with the United States government were centered around Dr. Burzynski's gene-targeted cancer medicines he discovered in the 1970's called Antineoplastons, which have currently completed Phase II FDA-supervised clinical trials in 2009 and could begin the final phase of FDA testing in 2011–barring the ability to raise the required $300 million to fund the final phase of FDA clinical trials."
Chris Rock: Kill the Messenger,2008,Comedy,7.9,"An HBO special edited from three performances from Chris Rock's 2008 comedy tour: London (dark suit, dark shirt), Johannesburg (black suit, white shirt) and New York (shiny jacket). Topics include the ongoing presidential campaign, the possibility of a black president, George W. Bush, gas prices, low-paid jobs, ringtones and bottled water, sex, relationships and the correct use of the n-word"
Daniel Tosh: Completely Serious,2007,Comedy,6.5,"Fresh from his numerous appearances on late night TV and Comedy Central, cutting-edge comic Daniel Tosh brings his seriously funny brand of contemporary comedy to this riotous standup special. Like your Tosh a little raunchy? His unfiltered routine is here, along with a more family-friendly version that will have Grandma laughing, too."
Daniel Tosh: Happy Thoughts,2011,Comedy,6.8,"Daniel Tosh performs in front of a live San Francisco audience in this stand-up special for Comedy Central, and touches on topics ranging from sports and pop culture, to religion and politics."
Dave Attell's Insomniac Tour: Uncensored!,2005,Comedy,9.0,"Inspired by Dave Attell's popular Comedy Central series, this concert movie deposits him and three fellow comics, including the wildly popular Dane Cook, at the House of Blues in Las Vegas to deliver some raucous and frequently funny material before an appreciative crowd. Those who know Attell's misanthropic stage persona from his series won't be disappointed by his material here, though he functions mainly as host for his three co-headliners. Rouse takes the easy route with jokes aimed straight for the heart of the rowdy audience (sex, booze, drugs), Giraldo mixes gags based around fatherhood with some political humor, while Cook, whose status has blossomed to near-superstardom thanks to tours like this, is broad and fairly foul-mouthed, but gives an engagingly manic performance, which is well received by the heavily lubricated twenty-something crowd."
Soundtrack for a Revolution,2009,Documentary,8.0,"Tells the story of the American civil rights movement through its powerful music - the freedom songs protesters sang on picket lines, in mass meetings, and in jail cells as they fought for justice and equality. Features new performances of the freedom songs by top artists; archival footage; and interviews with civil rights foot soldiers and leaders. Freedom songs evolved from slave chants, from the labor movement, and especially from the black church. Music enabled blacks to sing words they could not say, and it was crucial in helping the protesters as they faced down brutal aggression with dignity and non-violence. The infectious energy of the songs swept people up and empowered them to fight for their rights. This film celebrates the vitality of this music."
The Confession,2011,"Crime, Drama",6.7,A unique story of redemption and an exploration of good and evil featuring a hit man and a priest.
The Third Jihad,2008,Documentary,7.0,"The Third Jihad, the newest offering from the producers of the captivating documentary film, Obsession, explores the existence of radical Islam in America and the emerging risk that this “homegrown jihad” poses to national security, western liberties and the “American way of life.”"
The Secret Diaries of Miss Anne Lister,2010,"Drama, Family",6.2,"In nineteenth century Yorkshire wealthy orphan Anne Lister lives with an aunt and uncle, anxious for her to marry well and blissfully unaware that she is a lesbian,recording her thoughts and exploits in a coded diary. When her lover Mariana Belcombe makes a marriage of convenience to rich old Charles Lawton,she feels betrayed and,although Mariana visits and has sex with her,the relationship is going nowhere. Helped by old flame Tib she makes a play for innocent Miss Browne but sees she is barking up the wrong tree and diverts herself by renovating the family hall. A drunken Tib almost exposes her secret and scornful mine-owner Christopher Rawson,whose marriage proposal she rejects,tells her that her sexuality is a subject of local gossip. Undeterred Anne meets Ann Walker who becomes her new 'wife' and they open a coal-mine ,living happily together. An end title tells us that Anne Lister died prematurely in 1840 on holiday in Russia."
Tig Notaro: Boyish Girl Interrupted,2015,Comedy,6.3,"Known for her distinctive storytelling and offbeat sense of humor, Tig Notaro often draws on her highly personal experiences with no-holds-barred honesty. Over the course of her one-hour show, Notaro tells stories about a number of subjects, including: the search for the perfect Santa Claus; her favorite laugh noises; bringing her fiancée to meet her Mississippi family; TSA screening; flying in small planes; unusual public signs; and more."
Gascoigne,2015,Documentary,6.2,"A feature length, theatrical documentary on the life of Paul Gascoigne, one of the greatest footballers that ever lived: delving deep into his psyche, vulnerabilities, fears and triumphs."
Owen Hart of Gold,2015,Documentary,7.0,"The youngest of 12 from the famous Hart Wrestling Family, and one of the most likeable personalities in sports entertainment, Owen Hart was a champion who won the hearts of fans around the world. For the first time ever, hear from his brothers, sisters, friends, and colleagues as they fondly look back on the life and career of one of sports entertainment's greatest WWE Superstars."
Queen of Carthage,2015,"Thriller, Drama",7.5,An American Drifter discovers a New Zealand Singer and develops and obsession for him.
The Lady Vanishes,2013,"Thriller, Drama",6.3,"Beautiful and wealthy young socialite Iris Carr is used to being at the heart of her social group, but when her friends' raucous and unsociable behaviour escalates whilst on holiday in the Balkans she resolves to seek out some tranquillity and travel home alone. But her expectations of peace are short-lived when, at the railway station, Iris wavers in the scorching heat and constant jostle of passengers, fainting suddenly on the platform. She wakes in time to be rushed onto the train, but with a pounding head and a feeling of being almost in a dream. Whilst in this malaise she is comforted by an older English lady called Miss Froy, but when Iris falls asleep she awakes to find Miss Froy has gone and her fellow passengers denying she ever existed."
Margarita,2012,"Drama, Comedy",6.5,"Behind the facade of a beautiful urban home, a combination of complacency and bad investments has left power couple Ben and Gail disconnected, resentful and just about broke. When the cash-strapped yuppies fire their teen-aged daughter's lesbian Mexican nanny, Margarita, they set off a chain of events that lead to her deportation."
East Side Sushi,2014,Drama,6.3,"Years of working in the food industry have made Juana, a working-class Latina, a chef of speed and skill. Searching for financial stability, she stumbles into a high-energy, male-dominated Japanese cuisine kitchen. The new atmosphere re-ignites her passions for food and life and makes her hungry to get mixed up in the flavors of this new world."
Stretch and Bobbito: Radio That Changed Lives,2015,Documentary,9.0,"Exploring the social impact of what the Source Magazine in 1998 voted, ""The Best Hip Hop Radio Show Of All-Time."" The documentary film is the story of quirky friends who became unlikely legends by engaging their listeners and breaking the biggest rap artists ever."
To the Ends of the Earth,2005,Drama,6.2,"From Nobel Laureate William Golding's (Lord of the Flies) epic sea-voyage trilogy comes the story of an ambitious British aristocrat, humbled by the lives of his fellow passengers, as he embarks on an ocean voyage for Australia where he is to be an official in the colonial government."
Under the Gun,2016,Documentary,6.2,"A look at the aftermath of the Sandy Hook massacre where 20 children were murdered at school by a crazed gunman, but lead to no changes in American gun laws."
The Shallows,2016,"Horror, Drama, Thriller",6.2,"An injured surfer stranded on a buoy needs to get back to shore, but the great white shark stalking her might have other ideas."
Merry Kissmas,2015,"Comedy, Romance, TV Movie",6.8,"Unwinding her relationship from a controlling choreographer, Kayla happens to take an elevator ride with lonesome caterer “Dustin”. The lift stalls, and spontaneously, magical kisses follow. Soon the choreographer makes nice, and Dustin retreats. Kayla becomes confused as to which man to love."
Into the Universe with Stephen Hawking,2010,Documentary,7.7,"Into the Universe with Stephen Hawking is a science documentary mini-series written by British physicist Stephen Hawking. The series was created for Discovery Channel and features computer generated imagery of the universe. In the United Kingdom the series has a modified title, Stephen Hawking's Universe."
Papa Hemingway in Cuba,2015,Drama,7.0,"In 1959, a young journalist ventures to Havana, Cuba to meet his idol, the legendary Ernest Hemingway who helped him find his literary voice, while the Cuban Revolution comes to a boil around them."
Mickybo and Me,2005,"Drama, Comedy",7.6,"The film tells the story of two boys who become friends at the start of the Troubles in 1970. The boys share an obsession with Butch Cassidy and the Sundance Kid, with the consequence that they run away to Australia."
A Royal Christmas,2014,"TV Movie, Romance, Family",6.1,"A young working girl with a blue-collar background is surprised when her new fiancé announces he is actually a prince of a small sovereign country in Europe. After the couple quickly takes off to spend the holidays at his family’s sprawling, royal castle, she must work hard to win over her disapproving and unaccepting future mother-in-law—the Queen—and find out if love truly can conquer all."
Final Sale,2011,"Thriller, Crime, Drama",6.3,"A woman undergoes an illegal organ transplant only to discover that the young girl who donated the kidney died during the operation. Determined to stop this heinous activity, but torn by the moral dilemma of being saved by it, she fights against her reluctant husband, an LAPD Detective, to pull down the ring of criminals behind it."
Summer in the Golden Valley,2003,Drama,6.5,"At the traditional Muslim funeral service for his father Fikret Varupa, sixteen year old boy from Sarajevo, learns that his father owes money to Hamid, a man he does not even know. The debt is considerable and Hamid does not want it to go to the grave with the body, so the debt automatically passes from the father to the son. Since in Bosnia this way of collecting debts, at a funeral, is considered to be utterly humiliating, it is never, ever applied. Fikret and his entire family become subjects of ridicule. Fikret, who is practically still a child, is decisive to ""redeem his father's soul"". Wishing to repay his father's debt and to secure the forgiveness, Fikret wanders into the real world of Sarajevo, the world that is ruled by post-war chaos, misery and poverty and becomes an ideal target for two corrupted policemen who wish to ""help"" him: they plant the kidnapped girl on him."
The Weight of Chains,2010,"Documentary, History",8.1,"The Weight of Chains is a Canadian documentary film that takes a critical look at the role that the US, NATO and the EU played in the tragic breakup of a once peaceful and prosperous European state - Yugoslavia. The film, bursting with rare stock footage never before seen by Western audiences, is a creative first-hand look at why the West intervened in the Yugoslav conflict, with an impressive roster of interviews with academics, diplomats, media personalities and ordinary citizens of the former Yugoslav republics. This film also presents positive stories from the Yugoslav wars - people helping each other regardless of their ethnic background, stories of bravery and self-sacrifice."
Dustbin Baby,2008,"Drama, Thriller",8.0,"The film follows the story of young teen April whose troubled life began in a dustbin - a new born baby, abandoned and alone, not celebrated, not wanted but discarded and left like so much rubbish in an industrial bin behind a pizza parlour. On the morning of her fourteenth birthday April has a devastating row with her foster mother, Marion and leaves the house determined to find out where she really comes from, who she really is and maybe, just maybe, find her real mother. Telling no-one what she's up to or where she's going, April skips school and begins the search she's dreamed about all her life. It's a blur of social workers, children's homes and special schools as April revisits and recalls the key scenes of her fragmented past. It's a painful journey, sometimes frightening but there's also friendship and love and laughter. And now she's started, there's no going back - April must find her mother."
The Oil Factor: Behind the War on Terror,2005,Documentary,6.5,"Examines the link between oil interests and current U.S. military interventions. It includes original footage shot over a four-month period in Iraq, Pakistan and Afghanistan as well as many interviews with a large array of personalities including Bush administration officials."
The Choice Is Ours,2015,Documentary,7.0,"This film series explores many aspects of our society.  To rethink what is possible in our world, we need to consider what kind of world we want to live in.  Although we refer to it as civilization, it is anything but civilized.  Visions of global unity &amp; fellowship have long inspired humanity, yet the social arrangements up to the present have largely failed to produce a peaceful and productive world.  While we appear to be technically advanced, our values and behaviors are not.  The possibility of an optimistic future is in stark contrast to our current social, economic, and environmental dilemmas.  The Choice Is Ours includes interviews with notable scientists, media professionals, authors, and other thinkers exploring the difficulties we face."
Killing Daddy,2014,"Thriller, Crime, Mystery",6.8,"Cassie Ross is scarred by the suicide of her mother, which occurred when Cassie was a child. She is convinced that her father was to blame for her mother's death. Cassie's older sister, Laura, has always sided with their father, so for years Cassie has been estranged from her family. When Cassie discovers that her father has had a debilitating stroke, she sees it as the perfect opportunity to return home and seek justice for her mother. Confiding in her mute and helpless father her plans to destroy her sister and stepmother and ultimately kill him, Cassie sets out on her path to destroy her broken family and take all of their riches. But Cassie's revenge won't come as easy as she thinks as hidden truths about her family may derail her entire plan."
Getting That Girl,2011,,6.4,"When East Coast teen Mandy Meyers moves to Los Angeles with her family, she's thrown into the fast life at McDermott High, where the pretty girls rule the school and two very different guys want to date her."
Death Clique,2014,"Drama, Thriller",6.1,"Inspired by true events, a friendship rivalry between three high school girls escalates into a shocking act of violence, and soon one of them is dead. Now the dead girl's mom is determined to find her missing child... and get justice for her daughter."
Teri Meri Kahaani,2012,"Comedy, Drama, Romance, Foreign",6.7,Thrice upon a love story
The Search for Freedom,2015,"Adventure, Documentary",7.5,"THE SEARCH FOR FREEDOM is the story of a cultural revolution fueled by the human desire to live in the moment and do what makes you feel the most alive. We discover how an electrifying new world came about through pure energy and imagination and the infinite possibilities of self-expression available to anyone willing to drop in. This documentary, written and directed by Jon Long (IMAX® Extreme), is a visceral, visual experience told through the eyes some of the brightest pioneers, legends, visionaries and champions of surfing, snowboarding, skiing, skateboarding, mountain biking and more."
How Beer Saved the World,2011,Documentary,8.0,This show traces the important role that beer has played in human history from the probable origins of the first beer at the dawn of history to the development of a special beer for use in zero gravity space missions.
Dying To Have Known,2006,Documentary,7.0,"A documentary filmmaker goes on a 52-day journey to find evidence supporting the effectiveness of the Gerson Therapy -- a long-suppressed natural cancer cure. His travels take him from Alaska to Mexico with stops in San Diego, New York, Japan, Holland and Spain. In the end, he presents the testimonies of patients, scientists, surgeons and nutritionists who testify to the therapy s efficacy in curing cancer and other degenerative diseases, and presents the hard scientific proof to back up their claims. Testimonies include: a Japanese medical school professor who cured himself of liver cancer over 15 years ago, a lymphoma patient who was diagnosed as terminal over 50 years ago as well as from noted critics of this world-renowned healing method who dismiss it out of hand as pure quackery. So the question that remains is, Why is this powerful curative therapy still suppressed, more than 75 years after it was clearly proven to cure degenerative diseases?"
Fresh,2009,Documentary,8.3,"FRESH is more than a movie, it’s a gateway to action. Our aim is to help grow FRESH food, ideas, and become active participants in an exciting, vibrant, and fast-growing movement."
Queen of the Sun,2010,Documentary,6.5,"In 1923, Rudolf Steiner, an Austrian scientist, philosopher &amp; social innovator, predicted that in 80 to 100 years honeybees would collapse. Now, beekeepers around the United States and around the world are reporting an incredible loss of honeybees, a phenomenon deemed ""Colony Collapse Disorder."" This ""pandemic"" is indicated by bees disappearing in mass numbers from their hives with no clear single explanation. The queen is there, honey is there, but the bees are gone. For the first time, in an alarming inquiry into the insights behind Steiner's prediction QUEEN OF THE SUN: What Are the Bees Telling Us? investigates the long-term causes behind the dire global bee crisis through the eyes of biodynamic beekeepers, commercial beekeepers, scientists and philosophers."
Occupation 101,2006,Documentary,7.4,A thought-provoking documentary on the current and historical causes of the Israeli-Palestinian conflict and U.S. political involvement.
The Beautiful Truth,2008,Documentary,7.3,"A troubled 15-year-old boy attempting to cope with the recent death of his mother sets out to research Dr. Max Gerson's claims of a diet that can cure cancer as his first assignment for home-schooling in this documentary from filmmaker Steve Kroschel (Avalanche, Dying to Have Known)."
